Publication Type,AU,BA,Book Editors,GP,Author Full Names,Book Author Full Names,CA,Article Title,Source Title,SE,BS,LA,DT,CT,CY,CL,Conference Sponsor,HO,DE,Keywords Plus,AB,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,FX,CR,NR,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,PU,PI,PA,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,PD,Publication Year,VL,IS,PN,SU,SI,MA,Start Page,End Page,AR,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,SC,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID)
J,"Brecka, P; Valentova, M",,,,"Brecka, Peter; Valentova, Monika",,,Model of the Students' Key Competences Development through Interactive Whiteboard in the Subject of Technology,INFORMATICS IN EDUCATION,,,,Article,,,,,,key competences; education model; interactive whiteboard (IWB),,"The basis of the submitted study are the continuously rising demands to alter the curricula with the aim to develop students' key competences in order to increase their professional versatility. The lack of scientific research and discussions show that little investigation has been done on the issue of development of key competences. Therefore, the primary objective of our study is to present the teaching methodology, the process of creating the educational model and the pilot verification aimed at the development of key competences through interactive whiteboard in the subject of Technology. The partial results of the pilot research conducted on the research sample of 6th and 8th grade students of primary schools on Slovakia show its usefulness especially in the development of teamwork, in terms of interpersonal competences, problem solving in terms of learning competences and reading comprehension in terms of communication competences. The presented educational model reflects the contemporary requirements in terms of using information and communication technologies in the teaching of the subject of Technology, in which the acquisition of key competences becomes considerably important.",,,,,,,,,,,32,6,6,,,,,,,,,,,,2017,16.0,1,,,,,25,38,,10.15388/infedu.2017.02,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000399818000002
J,"Dyrda, B; Przbylska, I",,,,"Dyrda, Beata; Przbylska, Irena",,,New dimensions of the role of the teacher in a knowledge-based society,NEW EDUCATIONAL REVIEW,,,,Article,,,,,,key competences; teachers' competences; knowledge-based society; professional growth,,The core of interest in the article concerns the new dimensions of teachers' roles. It is considered in the context of the concept of the knowledge-based society. The authors consider the nature of the relation between personal and professional competences and how they contribute to effective teaching as well as participation in professional learning communities. The main assumption is that personal competences pre-empt professional ones and enable teachers to fulfill the roles which are perceived in the different dimensions.,,,,,,,,,,,10,1,1,,,,,,,,,,,,2007,13.0,3-4,,,,,119,128,,,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000253852800010
J,"Simonovic, N",,,,"Simonovic, Nikola",,,Teachers' Key Competencies for Innovative Teaching,INTERNATIONAL JOURNAL OF COGNITIVE RESEARCH IN SCIENCE ENGINEERING AND EDUCATION-IJCRSEE,,,,Article,,,,,,teacher competencies; innovations in teaching; reflective practice,PROFESSIONAL COMPETENCE; EDUCATION; IMPLEMENTATION; MATHEMATICS; LEADERSHIP; STANDARDS; SCIENCE,"The educational process is by its nature and essence very dialectical, so it necessarily requires teachers to have a developed whole set of various competencies. The aim of the research was to examine teachers on self-assessment of competencies that were crucial for innovating the teaching process. The sample of respondents included 1300 elementary and secondary school teachers in the territory of Southern Serbia. The instrument used was a five-point TCS scale of attitudes, with a total of 48 items (individual competencies). The results of the analysis showed that teachers, based on their self-assessments, highly value all diverse groups of competencies, which fully confirms the general hypothesis. The results also showed the existence of statistically significant differences in the degree of expression of attitudes about competency groups with regard to independent research variables, within special hypotheses, based on which the first was rejected, the second partially and the third and fourth special hypothesis fully confirmed. The issue of key competencies of teachers is certainly one of the fundamental issues when it comes to quality teaching, its innovation, generally successful and efficient dealing with the educational process. Based on these postulates, there is hope that the obtained research results will represent a good starting point and incentive for further research work in this field in the future.",,,,,,,,,,,72,0,0,,,,,,,,,,,DEC,2021,9.0,3,,,,,331,345,,10.23947/2334-8496-2021-9-3-331-345,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000731789500003
J,"Bibila, S",,,,"Bibila, Stavroula",,,The peculiarities and challenges of integrating generic forms of knowledge into the upper-secondary curriculum: A Bernsteinian analysis of 'Communication' and 'Application of Number' in the Welsh Baccalaureate,CURRICULUM JOURNAL,,,,Article,,,,,,Bernstein; functional skills; key competences; literacy; numeracy; Welsh baccalaureate,EDUCATION; PERFORMANCE,"Throughout the past 40 years, a number of terms have been used in the UK to refer to competency-based pedagogies that focus on preparing students for everyday 'life' and employment. The evolution of these generic forms of knowledge in official curricula has been accompanied by harsh practical realities when it comes to teaching, assessing and certifying them. These practical realities counterbalance the strong support genericskillism enjoys in policy discourses that centre on employability and universalism in upper-secondary education. By drawing upon Bernstein's sociological insights and data collected and analysed as part of a study that sought to examine the compulsory integration of Communication and Application of Number into the Welsh Baccalaureate Advanced Diploma (legacy qualification), this paper offers new empirical observations into the persistent peculiarities and challenges of teaching and assessing generic forms of pedagogised knowledge. The discussion takes into consideration practical and policy dimensions that extend beyond individual education sites in Wales and are also relevant to the 2017 review of the new Essential Skills Wales qualifications, ongoing developments following the 2018 review of the Welsh Baccalaureate Skills Challenge Certificate, and the Council of the EU 2018 Recommendation of Key Competences for Lifelong Learning.",,,,,,,,,,,68,0,0,,,,,,,,,,,NOV,2020,31.0,4,,,,,626,647,,10.1002/curj.38,,MAR 2020,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000517945000001
J,"Michels, NRM; Denekens, J; Driessen, EW; Van Gaal, LF; Bossaert, LL; De Winter, BY",,,,"Michels, Nele R. M.; Denekens, Joke; Driessen, Erik W.; Van Gaal, Luc F.; Bossaert, Leo L.; De Winter, Benedicte Y.",,,A Delphi study to construct a CanMEDS competence based inventory applicable for workplace assessment,BMC MEDICAL EDUCATION,,,,Article,,,,,,Portfolio; Medical education; Content validity; CanMEDS roles; CanMEDS competences; Workplace assessment; Delphi study; Competence inventory,MEDICAL-EDUCATION; PORTFOLIO ASSESSMENT; PERFORMANCE; CRITERIA,"Background: During workplace based learning students develop professional competences and an appropriate performance. To gain insight in the learning process and to evaluate competences and performance, assessment tools are essential and need to be of good quality. We aimed to construct a competence inventory applicable as an instrument to measure the content validity of workplace based assessment tools, such as portfolio. Methods: A Delphi study was carried out based on the CanMEDS Roles Framework. In three rounds, experts (N = 25-30) were invited to score the key competences per CanMEDS role on relevance (6-point Likert-scale), and to comment on the content and formulation bearing in mind its use in workplace based assessment. A descriptive analysis of relevances and comments was performed. Results: Although all competences were scored as relevant, many comments pointed at a lack of concrete, transparent and applicable descriptions of the key competences for the purpose of assessment. Therefore, the CanMEDS roles were reformulated in this Delphi procedure as concrete learning outcomes, observable and suitable for workplace based assessment. Conclusions: A competence based inventory, ready for validating workplace based assessment tools, was constructed using a Delphi procedure and based on a clarification and concretisation of the CanMEDS roles.",,,,,,,,,,,28,16,16,,,,,,,,,,,SEP 14,2012,12.0,,,,,,,,86,10.1186/1472-6920-12-86,,,,"Education & Educational Research; Education, Scientific Disciplines",,,,,,,,2022-06-07,WOS:000316218200001
J,"Murga-Menoyo, MA",,,,"Murga-Menoyo, Maria Angeles",,,EDUCATION IN THE ANTHROPOCENE. POSSIBILISM VERSUS UTOPIA,TEORIA DE LA EDUCACION,,,,Article,,,,,,education for sustainability; critical awareness of the species; sustainability competencies; existential competencies; planetary citizenship; Anthropocene,KEY COMPETENCES; FRAMEWORK,"This paper is a reflection on education within the framework of the Anthropocene, accepting as key educational challenges the problems which justify assigning this name to the current geological epoch. The urgent need to train citizens, who are actively committed to the principles and values of sustainability, derives from these problems. The local point of this issue has two main aspects: the first lotuses on transformative action as a nurturing dynamic of the training process; the second considers the competencies that education should aim to promote. On the one hand the paper reviews the updated typology of competencies which, described as 'transformative', are included in the Learning Compass 2030 (OECD, 2019). This adds complexity to the training proposal of the DeSeCo model (OECD, 2005). On the other hand, there is an analysis of the significant aspects of the typology of key competencies for sustainability, as promoted by UNESCO (2014; 2018a). From a reflective consideration of both typologies, the lack of elements (capacities) necessary to reach a critical awareness of species - whose training significantly affects what each individual can become - is evident. The so-called 'existential competencies' of Edgar Morin (2016), which point to the most radical core of the human being, are then proposed as complementary to strengthen the consistency of the model. These competencies are not explicitly included in the, otherwise laudable, initiatives which international organisations and institutions are deploying in order to bring the Education 2030 agenda to fruition. However, it is necessary to focus attention on them within the framework of a truly transformative quality education. Therefore, incorporating them into the competency model dominant on an international level is imperative in order to radically address the gravity, and urgency, of current socio-ecological problems. Anthropological substrate, provided by a biocentric humanism, is required to carry this out. This is a substrate committed to the moral responsibility which requires preserving the dignity of life in its extraordinary diversity.",,,,,,,,,,,60,1,1,,,,,,,,,,,JUL-DEC,2021,33.0,2,,,,,107,128,,10.14201/teri.25375,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000659193200006
J,"Ratinen, I; Linnanen, L",,,,"Ratinen, Ilkka; Linnanen, Lassi",,,The Connection of Finns' Environmental Awareness to Their Anticipatory Competence,FRONTIERS IN EDUCATION,,,,Article,,,,,,environmental awareness; anticipatory competence; science education; Finns; climate change; biodiversity,KEY COMPETENCES; CLIMATE-CHANGE; EDUCATION; SCIENCE; SUSTAINABILITY; BEHAVIOR,"Knowledge of people's abilities must be adapted to a new, sustainable society. Through sustainability competences, the necessary changes in people's behavior in the pursuit of a sustainable society can be intensified. In this study, Finns (n = 2006) express their knowledge of climate change and biodiversity loss and evaluate their own anticipatory competence. The connection between their environmental awareness and the future's orientation toward a society of sustainable actions will be studied by statistical analysis. The study discusses how learning sustainability competences can be promoted in science education and reveals the gap between females and males in their objectives for a sustainable future. Finns with higher education have greater environmental awareness than those with lower education. The connection between Finns' environmental awareness and their structural skills for making a more sustainable future is quite clear.",,,,,,,,,,,34,0,0,,,,,,,,,,,APR 13,2022,7.0,,,,,,,,838005,10.3389/feduc.2022.838005,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000792881900001
J,"Soini, K; Korhonen-Kurki, K; Asikainen, H",,,,"Soini, Katriina; Korhonen-Kurki, Kaisa; Asikainen, Henna",,,Transactional learning and sustainability co-creation in a university - business collaboration,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,,,,Article,,,,,,Competences; Sustainability; Co-creation; Master class; Project based learning; Transactional learning,HIGHER-EDUCATION; KEY COMPETENCES; SCIENCE; CLASSROOM; PROGRAM; FUTURE,"Purpose The purpose of this study is to explore the learning outcomes of the project-based learning in a Master Class programme on sustainability carried out in collaboration by the University of Helsinki and a private company operating in global mining technology. The following two questions were addressed: Q1. What kind of sustainability competences do participants acquire in the Master Class? Q2. What is the role of PBL in the learning outcomes? Design/methodology/approach The study is based on an ex ante open-ended survey and post-ante interviews addressed to the participants. The data were analysed using the qualitative content analysis. Findings The findings show that the Master Class contributed to most of the competences under study. However, unlike in previous studies, systemic thinking is highlighted as a fundamental rather than a parallel core competence. Furthermore, the results also emphasise the role of emotions, which is insufficiently acknowledged and accounted for in sustainability education. Research limitations/implications - The study focussed only on the learning outcomes of the participants (students) and not the other parties (such as company and researchers). Practical implications - Future research should focus on affective dimension as a stepping stone to the transformational learning. In addition, the role of the systemic understanding in sustainability education should be highlighted as a core competence. Social implications - The study revealed the overall positive impacts of the co-creation in university business collaboration to the participants' sustainability competences. Originality/value The study presents an empirical case study where the various competence frameworks were applied with a result of confirming the validity of the existing key competences, in particular the systemic understanding and showing the role of the affective dimension in the transactional learning.",,,,,,,,,,,53,12,12,,,,,,,,,,,OCT 4,2019,20.0,6,,,,,965,984,,10.1108/IJSHE-11-2018-0215,,,,Green & Sustainable Science & Technology; Education & Educational Research,,,,,,,,2022-06-07,WOS:000489022400001
J,"Campos, DM",,,,"Munoz Campos, Diego",,,Problem-Based Learning: An Experiential Strategy for English Language Teacher Education in Chile,PROFILE-ISSUES IN TEACHERS PROFESSIONAL DEVELOPMENT,,,,Article,,,,,,English teacher education; learning strategies; problem-based learning,,"The Chilean education system requires English language teachers to be equipped with non-conventional teaching strategies that can foster meaningful learning and assure successful learners' performances in diverse and complex settings. This exploratory, descriptive, research study aimed at discovering the perceptions of 54 pre-service teachers about the impact of a problem-based learning activity in the development of key competencies, including higher order thinking skills and reflective, research, knowledge transfer/integration, social, and self-management skills. Groups of participants chose a madeup, ill-structured problem which combined language teaching and socio-cultural issues, and devised holistic solutions. Findings suggest a comprehensive impact on the first four skills, but a limited impact on social and self-management skills.",,,,,,,,,,,27,3,3,,,,,,,,,,,JAN-JUN,2017,19.0,1,,,,,29,40,,10.15446/profile.v19n1.53310,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000396614000003
J,"Chudy, S",,,,"Chudy, Stefan",,,Development and Creation Determinants of Decision-making Competences in the Preparation of Social (Services) Pedagogues at TBU in Zlin,NEW EDUCATIONAL REVIEW,,,,Article,,,,,,social pedagogy; competence; research; decision-making; practice,,"The paper is oriented to professional and personality preparation of social pedagogues at TBU In our paper, we will endeavour to elaborate a functional model of competences, which will be verified in practice and subsequent reflection on the professional preparation of social pedagogues at TBU in Zlin. We shall base upon the knowledge and observations contained in the current professional literature as well as working practices (i.e. praxis). Decision-making competences - on which our attention and activities are focused in this paper, are highly specific competences. The decision-making competence is not understood (by us) from the perspective of technical, economic, or social policies, but rather from the perspective of key competences - which are the load-bearing competences, and at the same time, include within themselves a dimension of other competences and these individual competences intermingle to various degrees as does their content.",,,,,,,,,,,10,2,2,,,,,,,,,,,,2008,16.0,3-4,,,,,243,257,,,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000262101500019
J,"Homberg, A; Hundertmark, J; Krause, J; Brunnee, M; Neumann, B; Loukanova, S",,,,"Homberg, Angelika; Hundertmark, Jan; Krause, Juergen; Brunnee, Merle; Neumann, Boris; Loukanova, Svetla",,,Promoting medical competencies through a didactic tutor qualification programme - a qualitative study based on the CanMEDS Physician Competency Framework,BMC MEDICAL EDUCATION,,,,Article,,,,,,Medical education; Peer teaching; Competencies; Tutor training; Procedural skills; Role competencies; CanMEDS,TRAINING-PROGRAM; CLINICAL SKILLS; STUDENT TUTORS; PEER; TEACHERS; LEARN; ACCEPTANCE; EXPERIENCE; RESIDENTS; EDUCATION,"BackgroundIn peer-led tutorial courses, qualified medical students (tutors) provide their peers with opportunities to deepen their theoretical knowledge effectively and to practice clinical skills already in preclinical semesters. At the Medical Faculty of Heidelberg University, a structured medical didactic qualification programme prepares and trains future tutors for their responsibilities. This programme consists of four modules: 1. medical didactics and group leadership, 2. subject-specific training, 3. performance of tutorial courses as well as 4. collegial advice and reflection on the tutors' activities. The aim of this study is to systematically analyse and present the development of role competencies for medical tutors based on the CanMEDS Physician Competency Framework through the didactic qualification programme.MethodsWe applied a qualitative research approach to detect CanMEDS role competencies acquisition within the tutor qualification programme. The CanMEDS framework describes key competencies, grouped thematically under seven professional roles. Two tutors and three training coordinators independently assigned the individual modules of the tutor qualification programme to the key competencies of the CanMEDS framework. Tutors and training coordinators compared and discussed the allocations within the groups in a consensus finding process. All authors analysed the findings in order to find out the so-called hidden curriculum. The views of both groups are presented separately.ResultsThe training programme promotes the acquisition of competencies in all seven CanMEDS roles. The roles of the scholarand the leaderare promoted in all modules. In addition, the first and fourth module focus predominately on the role of the collaborator, the second on the role of the medical expert and communicator, and the fourth on the role of the professional.ConclusionsThe systematic analysis through assignment of the CanMEDS roles to the individual modules of the tutor qualification programme documents the comprehensive acquisition of competencies, not only with regard to the tutor activity, but generally with regard to the later role of the physician. The reflection on one's own competency acquisition can support the promotion of corresponding competencies in the qualification programme and their transfer into the professional practice later.",,,,,,,,,,,33,5,5,,,,,,,,,,,JUN 4,2019,19.0,,,,,,,,187,10.1186/s12909-019-1636-5,,,,"Education & Educational Research; Education, Scientific Disciplines",,,,,,,,2022-06-07,WOS:000470289200002
J,"Merono, L; Calderon, A; Arias-Estero, JL; Mendez-Gimenez, A",,,,"Merono, Lourdes; Calderon, Antonio; Arias-Estero, Jose L.; Mendez-Gimenez, Antonio",,,Questionnaire on Perceived Competency-based Learning for primary school students (#ICOMpri1),CULTURA Y EDUCACION,,,,Article,,,,,,Academic achievement; key competences; psychometrics; scale; teaching-learning process,KEY COMPETENCES; VALIDATION; PERCEPTIONS; PERSPECTIVE; EDUCATION,"The purpose of this study was to design and validate an assessment tool to find out how primary school students perceive their competency-based learning. By examining the content validity (n = 35 experts), comprehension (n = 173 students) and construct (n = 523 students) of the instrument, the results showed correct psychometric quality, internal consistency, reliability and adequacy of the structural model: X-2/df = 2.08, TLI = 0.88, CFI = 0.90, GFI = 0.90, RMSEA = 0.04, and SRMR = 0.04. The final version of the Questionnaire on Perceived Competency-based Learning of primary school students (#ICOMpri1) includes eight dimensions and 27 items. The results showed a high perceived competency-based learning of primary school students. This is therefore a valid and reliable instrument that provides a more subjective and real vision of primary students' academic performance. Nevertheless, future studies should analyse the criterion-related validity by comparing perception results with those of international academic achievement.",,,,,,,,,,,52,5,5,,,,,,,,,,,,2017,29.0,2,,,,,279,323,,10.1080/11356405.2017.1318470,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000401713800003
J,"de Diezmas, ENM",,,,"Nieto Moreno de Diezmas, Esther",,,The Impact of CLIL on the Acquisition of the Learning to Learn Competence in Secondary School Education in the Bilingual Programmes of Castilla-La Mancha,PORTA LINGUARUM,,,,Article,,,,,,Content and Language Integrated Learning (CLIL); learning to learn; metacognitive strategies; learning strategies,,"In this paper the influence of bilingual education on the acquisition of the key learning to learn competence is examined. To do so, bilingual (n = 1,966) and non-bilingual students (n=14,713) of Castilla-La Mancha enrolled in the 2nd year of Compulsory Secondary Education took a series of tests designed to assess two dimensions of the competence of learning to learn: metacognitive strategies, made up of two learning standards related to metacognitive processes, and learning strategies, a dimension consisting of five standards connected to cognitive processes. Results showed bilingualism had a significant effect on the acquisition of the key competence of learning to learn.",,,,,,,,,,,58,16,16,,,,,,,,,,,JAN,2016,,25,,,,,21,34,,,,,,Education & Educational Research; Linguistics; Language & Linguistics,,,,,,,,2022-06-07,WOS:000388654700003
J,"Conway, ML; Foskey, R",,,,"Conway, Mary-Louise; Foskey, Roslyn",,,Apprentices thriving at work: looking through an appreciative lens,JOURNAL OF VOCATIONAL EDUCATION AND TRAINING,,,,Article,,,,,,apprentice; appreciative; thriving; expansive; learning; Australia,EMPLOYMENT,"An appreciative lens has been used to explore the question: what is it in the performance of managers, other employees, vocational educators and apprentices themselves, which enables an apprentice to experience a sense of thriving at work? The apprentice is understood to be involved in a process of continually developing and becoming as their social identity as a tradesperson emerges. Previous researchers have noted how learning to both ask for, and offer, help is a key competence that successful apprentices develop during their training. This helps to focus attention on the social context of the apprentice's experience. This study suggests that when managers, vocational educators and apprentices engage in behaviours that promote affiliation they have the opportunity to develop not only more meaningful relationships but also to experience a sense of thriving at work.",,,,,,,,,,,48,3,3,,,,,,,,,,,,2015,67.0,3,,,,,332,348,,10.1080/13636820.2015.1054863,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000374507900005
J,"Sanchez-Sanchez, N; McGuinness, S",,,,"Sanchez-Sanchez, Nuria; McGuinness, Seamus",,,Decomposing the impacts of overeducation and overskilling on earnings and job satisfaction: an analysis using REFLEX data,EDUCATION ECONOMICS,,,,Article,,,,,,overeducation; overskilling; job satisfaction; earnings,,"This article assesses the extent to which the impact of overeducation and overskilling on labour market outcomes such as earnings and job satisfaction relate to mismatches in particular competency areas. The analysis uses REFLEX data, which collects information about 19 key competence areas related to job performance. We find that the penalties to both forms of mismatch are insensitive to the inclusion of controls for overskilling in a wide range of jobspecific competencies. The research suggests that the problem of mismatch relates to an inability to fully utilise general or innate ability as opposed to specific areas of acquired learning. We conclude that the problem of mismatch can only be effectively addressed by raising general levels of job quality within developed labour markets.",,,,,,,,,,,24,33,34,,,,,,,,,,,,2015,23.0,4,,,,,419,432,,10.1080/09645292.2013.846297,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000211534300003
J,"Hirsch, P; Lloyd, K",,,,"Hirsch, P; Lloyd, K",,,"Real and virtual experiential learning on the Mekong: Field Schools, e-Sims and cultural challenge",JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,,,,Article,,,,,,Asia-Pacific geography; experiential learning; field school; development; environment; Mekong,HIGHER-EDUCATION; GEOGRAPHY; INTERDISCIPLINARITY; PROJECT,"This paper describes two innovative and linked approaches to teaching and student learning in the environmental and development geography of the Mekong region, a region remote from students' normal experiential options. The first approach is field-based learning through Field Schools carried out in Vietnam, Laos and Thailand. The second approach is a structured role-playing web-based simulation exercise (e-Sim) on Mekong Basin environmental management challenges. This paper discusses the complementarities of these approaches and considers the degree to which these two experiential approaches to teaching and learning have contributed to key competences, namely cross-cultural communication and understanding, multi-disciplinary approaches to environment and development, and regional knowledge of Southeast Asia.",,,,,,,,,,,38,29,29,,,,,,,,,,,NOV,2005,29.0,3,,,,,321,337,,10.1080/03098260500290892,,,,Education & Educational Research; Geography,,,,,,,,2022-06-07,WOS:000232560800002
J,"Chehlarova, N; Gachev, G",,,,"Chehlarova, Neda; Gachev, Georgi",,,ONLINE CONTEST MATHEMATICS AND ART FOR THE DEVELOPMENT OF KEY COMPETENCIES,PEDAGOGIKA-PEDAGOGY,,,,Article,,,,,,online competition; key competencies; mathematics and art; STEAM,,"The online contest Mathematics and Art is organized by Tonediko since 2015. Participation in it creates the opportunity to develop almost all key competences. In addition, the competition is a means of promoting digital mathematical tools to a wide audience. In the paper, in the context of the research of the ability to use the provided dynamic files (directly or after modification), to create a composition on a given topic, the following will be presented: the competition regulation; main activities of the participants; opportunities to use the competition in IT lessons, fine arts, labor and equipment, mathematics and related teacher activities; results of passed competitions, some challenges and options to overcome them.",,,,,,,,,,,12,5,5,,,,,,,,,,,,2021,93.0,1,,,,,87,99,,,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000621810900008
J,"Sieglova, D; Stejskalova, L; Kocurova-Giurgiu, I",,,,"Sieglova, Dagmar; Stejskalova, Lenka; Kocurova-Giurgiu, Ioana",,,Optimizing language instruction at the tertiary level: student needs analysis toward educational change,LANGUAGE LEARNING IN HIGHER EDUCATION,,,,Article,,,,,,needs analysis; language; education; tertiary; teacher; student; self-assessment,MULTINATIONAL COMPANIES; COMMUNICATION; MANAGEMENT; ENGLISH,"The job expectations and requirements of the information age bring with them a need for a change in teaching and studying. A quantitative approach to working with information and a frontal style of teaching, still a wide practice in many institutions, no longer seem to be suitable preparation for current students' needs. One of the areas affected by these changes are the foreign language competences necessary to efficiently deal with study and job related practices and, correspondingly, to succeed in the job market. Along with the change in student needs comes the demand for change in the organization of language classrooms and instruction. Young people, facing a deluge of information and unlimited access to resources, are challenged by the changing needs in processing the material. A qualitative approach to information is required with a growing focus on information processing, analysis, critical evaluation and implementation in practice. Similarly, the need for efficient communication skills such as negotiation, argumentation or presenting seem to be more in demand than grammatical precision or encyclopedic knowledge. From this perspective, language instruction accentuating activities focused on memorizing and drills needs to be restructured so the students can develop targeted key competences for the current times. This paper focuses on the research of student needs and how they are perceived from the perspective of students and their study or internship experience, as well as from the perspective of teacher practitioners. The purpose of the study is to identify the key competences students need to succeed in the job market as a resource for restructuring university language instruction.",,,,,,,,,,,37,4,4,,,,,,,,,,,OCT,2017,7.0,2,,,,,413,433,,10.1515/cercles-2017-0017,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000447338900008
J,"Mogashoa, T",,,,"Mogashoa, Tebogo",,,Determining Strategies that Teachers Employ in order to Improve Learners' Skills and Competencies in Learning Effectively,INTERNATIONAL JOURNAL OF EDUCATIONAL SCIENCES,,,,Article,,,,,,Conversations; Effective; Evaluation; Paradigm Shift,,"The aim of the research was to determine strategies teachers employ in order to improve learners' skills and competencies in learning effectively. This paper was underpinned by critical discourse analysis. It involved an analysis of the merits and demerits of the implementation of new teaching strategies in South African schools. Qualitative research assisted the researcher to determine strategies teachers employ. Data were analysed by selecting, comparing, synthesising and interpreting information to provide explanation. It has been established in this paper that some teachers have changed the way they used to teach after the introduction of the new teaching and learning strategies, while other teachers did not change. There is need to shift from teacher centred to learner centred approaches to teaching as well as a shift from teaching to learning to enhance thinking and reflection among learners and to use learners' prior knowledge and experiences. The teachers also need to shift from content based curriculum to competence-based curriculum.",,,,,,,,,,,14,0,0,,,,,,,,,,,,2015,9.0,2,,,,,199,205,,10.1080/09751122.2015.11890310,,,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000416622300012
J,"Cebrian, G; Moraleda, A; Fernandez, M; Fuertes, MT; Segalas, J; Blanco, IG",,,,"Cebrian, Gisela; Moraleda, Alvaro; Fernandez, Monica; Teresa Fuertes, Maria; Segalas, Jordi; Gutierrez Blanco, Ibon",,,Multiple case-study analysis of service-learning as a means to foster sustainability competencies amongst pre-service educators,TEACHERS AND TEACHING,,,,Article,,,,,,Service-learning; Education for Sustainable Development (ESD); competencies; students; sustainability; higher education,KEY COMPETENCES; UNIVERSITY; TEACHERS; PROGRAM; SKILLS,"The aim of this multiple case-study analysis was to find out the influence that service-learning methodology has on the development of sustainability competences amongst university students (Preschool, Primary and Social Education) of three Spanish Universities (UIC, UAM and USAL). A sample of 129 university students of the academic year 2017-18 was used. A pre-experimental study was carried out, using a pre-test-post-test study with natural groups, without a control group. The findings of this study show that service-learning contributed to improve knowledge in sustainability in the 5 case studies analysed. The findings also demonstrate how the use of service-learning promotes the development of practical skills associated with sustainability action.",,,,,,,,,,,61,1,1,,,,,,,,,,,AUG 18,2021,27.0,6,,,,,488,505,,10.1080/13540602.2021.1977269,,SEP 2021,,Education & Educational Research,,,,,,,,2022-06-07,WOS:000695407500001
J,"Birdman, J; Redman, A; Lang, DJ",,,,"Birdman, Jodie; Redman, Aaron; Lang, Daniel J.",,,Pushing the boundaries: experience-based learning in early phases of graduate sustainability curricula,INTERNATIONAL JOURNAL OF SUSTAINABILITY IN HIGHER EDUCATION,,,,Article,,,,,,Sustainability; Education for sustainable development; Experiential learning; Experience-based learning; Higher learning; Key competencies in sustainability,HIGHER-EDUCATION; COMPETENCES; LEADERSHIP; FRAMEWORK,"Purpose This paper aims to investigate student experiences and the potential impact of experience-based learning (EBL) in the early phase of graduate sustainability programs through the lens of key competencies. The goal is to provide evidence for the improvement of existing and the thorough design of new EBL formats in sustainability programs. Design/methodology/approach This comparative case study focuses on the first semester of three graduate sustainability programs at Leuphana University of Luneburg, Germany and Arizona State University, USA, for two of which EBL was a core feature. The study compares the curricula, the teaching and learning environments and the reported experiences of one student cohort from each of three programs and synthesizes the resulting insights. Student interviews were combined with student self-assessments and supported by in-vivo observations, curriculum designer input, instructor interviews and course materials. MAXQDA was used for data analysis following a grounded theory approach. Findings EBL influences students' reflective capacity, which impacts the development of key competencies in sustainability. Qualitative analysis found four key themes in relation to the students' learning in EBL settings, namely, discomfort, time-attention relationship, student expectations of instructors and exchange. The intersection of these themes with curricular structure, student dispositions and differing instructor approaches shows how curriculum can either support or interrupt the reflective cycle and thus, holistic learning. Research limitations/implications With the focus on the first semester only, the students' competence development over the course of the entire program cannot be demonstrated. Learning processes within EBL settings are complex and include aspects outside the control of instructors and curriculum designers. This study addresses only a select number of factors influencing students' learning in EBL settings. Practical implications Early engagement with EBL activities can push students to leave their comfort zones and question previous assumptions. Designing curricula to include EBL while encouraging strong intra-cohort connections and creating space for reflection seems to be an effective approach to enable the development of key competencies in sustainability. Originality/value This paper investigates the experiences of students in EBL through a key competence lens. The study combines student self-perceptions, instructor reflections and in-vivo observations. Data collection and analysis were conducted by a researcher not affiliated with the programs. These factors make for a unique study design and with data-driven insights on the seldom researched competence-pedagogy-curriculum connection.",,,,,,,,,,,47,4,4,,,,,,,,,,,JAN 25,2021,22.0,2,,,,,237,253,,10.1108/IJSHE-08-2019-0242,,DEC 2020,,Green & Sustainable Science & Technology; Education & Educational Research,,,,,,,,2022-06-07,WOS:000599177600001
